olddate,date,time,hour,Species,Re,Vi,Lo,Dr,Fe,Gr,N,P,Nso,PSo,O,OOS,Total,Z1,Z2,Z3,Z4,Z5,Z6,Total
3/6/2019,3/6/2019,9am ,9,GK,4,,,,2,,,,,,,,,,,,2,2,2,
,3/6/2019,10am,10,GK,4,,,,,,,2,,,,,,,,,3,,3,
,3/6/2019,11am,11,GK,3,1,,,2,,,,,,,,,,,1,4,,1,
,3/6/2019,12pm,12,GK,3,1,,,2,,,,,,,,,,,,2,4,,
,3/6/2019,1pm,13,GK,6,,,,,,,,,,,,,,,,,6,,
,3/6/2019,2pm,14,GK,6,,,,,,,,,,,,,,,2,1,3,,
,3/6/2019,3pm,15,GK,2,,,,3,,,,,,,1,,,,3,2,,,
,3/6/2019,4pm,16,GK,,,,,6,,,,,,,,,,,,3,3,,
,3/6/2019,5pm,17,GK,1,2,,,3,,,,,,,,,,,2,2,2,,
,3/6/2019,6pm,18,GK,,,,,6,,,,,,,,,,,,6,,,
3/8/2019,3/8/2019,9am ,9,GK,1,3,,,2,,,,,,,,,,,1,,,5,
,3/8/2019,10am,10,GK,2,4,,,,,,,,,,,,,,1,,,5,
,3/8/2019,11am,11,GK,,,,,5,,,,,,1,,,,,,5,,1,
,3/8/2019,12pm,12,GK,2,,,,4,,,,,,,,,,,1,5,,,
,3/8/2019,1pm,13,GK,3,1,,,2,,,,,,,,,,,,6,,,
,3/8/2019,2pm,14,GK,,6,,,,,,,,,,,,,,,,6,,
,3/8/2019,3pm,15,GK,2,,,,4,,,,,,,,,,,4,2,,,
,3/8/2019,4pm,16,GK,2,,,,4,,,,,,,,,,,3,3,,,
,3/8/2019,5pm,17,GK,2,1,,,3,,,,,,,,,,,,6,,,
,3/8/2019,6pm,18,GK,2,,,,4,,,,,,,,,,,,6,,,
3/9/2019,3/9/2019,9am ,9,GK,,4,,,1,,,,,,1,,,,,,5,,1,
,3/9/2019,10am,10,GK,4,2,,,,,,,,,,,,,,,,,6,
,3/9/2019,11am,11,GK,3,,,,2,1,,,,,,,,,,5,,,1,
,3/9/2019,12pm,12,GK,1,,,,5,,,,,,,,,,,,4,,2,
,3/9/2019,1pm,13,GK,5,,,,,,,,,,1,,,,,,4,,2,
,3/9/2019,2pm,14,GK,6,,,,,,,,,,,,,,,,4,,2,
,3/9/2019,3pm,15,GK,4,,,,2,,,,,,,,,,,2,3,,1,
,3/9/2019,4pm,16,GK,5,,,,,1,,,,,,,,,,2,3,,1,
,3/9/2019,5pm,17,GK,2,,,,2,1,,,,,,1,,,,,4,1,,
,3/9/2019,6pm,18,GK,1,,1,,4,,,,,,,,,,,3,3,,,
12/17/2018,12/17/2018,9am ,9,BW,,,1,,,,,,,,,2,,,,,,,1,
,12/17/2018,10am,10,BW,,,1,,,,,,,,,2,,,,,,,1,
,12/17/2018,11am,11,BW,,2,1,,,,,,,,,,,,,1,1,1,,
,12/17/2018,12pm,12,BW,,1,1,,,,,,,,,1,,2,,,,,,
,12/17/2018,1pm,13,BW,3,,,,,,,,,,,,,,,,,2,1,
,12/17/2018,2pm,14,BW,,2,,,1,,,,,,,,,,,,,2,1,
,12/17/2018,3pm,15,BW,,2,,,1,,,,,,,,,,,1,,2,,
,12/17/2018,4pm,16,BW,,2,,,,,,,,,,1,,,,,,2,,
,12/17/2018,5pm,17,BW,,,,,,,,,,,,,,,,,,,,
,12/17/2018,6pm,18,BW,,,1,,2,,,,,,,,,,1,,,,2,
12/18/2018,12/18/2018,9am ,9,BW,2,,,,1,,,,,,,,,1,,1,,1,,
,12/18/2018,10am,10,BW,,1,1,,1,,,,,,,,,1,,,,1,1,
,12/18/2018,11am,11,BW,1,2,,,,,,,,,,,,2,,,,,1,
,12/18/2018,12pm,12,BW,2,1,,,,,,,,,,,,2,,,,,1,
,12/18/2018,1pm,13,BW,3,,,,,,,,,,,,,2,,,,,1,
,12/18/2018,2pm,14,BW,,1,,,1,1,,,,,,,,1,,,,1,1,
,12/18/2018,3pm,15,BW,1,2,,,,,,,,,,,,,,,,2,1,
,12/18/2018,4pm,16,BW,,1,,,1,,,,,,,1,,,,,,1,1,
,12/18/2018,5pm,17,BW,,,,,2,,,,,,,1,,,,,,1,1,
,12/18/2018,6pm,18,BW,,3,,,,,,,,,,,,,,,,2,1,
12/19/2018,12/19/2018,9am ,9,BW,,2,,,,,,,,,,1,,,,,,1,1,
,12/19/2018,10am,10,BW,2,,,,1,,,,,,,,,,,,,3,,
,12/19/2018,11am,11,BW,2,,,,1,,,,,,,,,2,,,,1,,
,12/19/2018,12pm,12,BW,2,,,,1,,,,,,,,,2,,,,1,,
,12/19/2018,1pm,13,BW,1,1,,,1,,,,,,,,,1,,,,2,,
,12/19/2018,2pm,14,BW,2,,,,1,,,,,,,,,2,,,,1,,
,12/19/2018,3pm,15,BW,2,,,,1,,,,,,,,,2,,,,1,,
,12/19/2018,4pm,16,BW,3,,,,,,,,,,,,,2,,,,1,,
,12/19/2018,5pm,17,BW,1,1,,,1,,,,,,,,,2,,,,1,,
,12/19/2018,6pm,18,BW,1,2,,,,,,,,,,,,2,,,,1,,
